FILENAME,INSTRUMENT,BIBCODE,OBSERVATION_DATE,OBSERVATION_MJD,NAME,DESIGNATION,RA,DEC,SOURCE_KEY,OBSERVATION_TIME,PROGRAM_NUMBER,PROGRAM_PI,OBSERVER,RESOLUTION,AIRMASS,REDUCTION_SPEXTOOL_VERSION,QUALITY_FLAG,MEDIAN_SNR,SSPT,SPEX_GRAVITY_CLASSIFICATION,OSPT,OSPT_REF,NSPT,NSPT_REF,SPT,SPT_REF,OBJECT_TYPE,MAG_2MASS_J,E_MAG_2MASS_J,MAG_2MASS_H,E_MAG_2MASS_H,MAG_2MASS_KS,E_MAG_2MASS_KS,JK_EXCESS,COLOR_EXTREMITY,LUMINOSITY_CLASS,METALLICITY_CLASS,GRAVITY_CLASS_OPTICAL,GRAVITY_CLASS_OPTICAL_REF,GRAVITY_CLASS_NIR,GRAVITY_CLASS_NIR_REF,CLUSTER,CLUSTER_REF,BINARY,BINARY_REF,SBINARY,SBINARY_REF,COMPANION_NAME,COMPANION_REF,SIMBAD_OTYPE,SIMBAD_NAME,SIMBAD_SPT,SIMBAD_SPT_REF,SIMBAD_SEP,PARALLAX,PARALLAX_E,PARALLEX_REF,DISTANCE_PHOT,DISTANCE_PHOT_E,DISTANCE,DISTANCE_E,MU,MU_E,MU_RA,MU_DEC,MU_REF,VTAN,VTAN_E,RV,RV_E,RV_REF,VSINI,VSINI_E,VSINI_REF,NOTE
10194_11007.fits,SPEX-PRISM,2006ApJ...639.1095B,20040312,53076.5,SDSSp J134646.45-003150.4,J13464634-0031501,206.69308,-0.53058332,11007,,,,,120,,,OK,21,T6.0,,T7,2003ApJ...594..510B,T6.5,2006ApJ...637.1067B,T6.5,2006ApJ...637.1067B,VLM,15.49,0.05,15.84,0.05,15.73,0.05,0.23,,,,,,,,,,,,,,,,brownD*,2MASS J13464634-0031501,T6.5,2008ApJ...676.1281M,,68.3,2.3,2012ApJ...752...56F,,,14.641,0.493,515.76,3.61,-503,-114,2009AJ....137....1F,35.79336573,1.231039107,,,,,,,
10196_11058.fits,SPEX-PRISM,2006AJ....131.1007B,20040312,53076.5,LHS 2924,J14284323+3310391,217.18012,33.177528,11058,,,,,120,,,OK,313,M9.0,FLD-G,M9 V,,,,M9 V,,VLM,11.99,0.021,11.225,0.029,10.744,0.024,0.07,,,,,,FLD-G,SPL,,,,,,,,,brownD*,LP 271-25,M9Ve,2005PASP..117..676R,,90.8,1.3,1992AJ....103..638M,,,11.013,0.158,787.8,0.57,-345.35,-708.07,1992AJ....103..638M,41.12524947,0.589537662,,,,,,,
10197_11074.fits,SPEX-PRISM,2004ApJ...614L..73B,20040312,53076.5,LHS 377,J14390030+1839385,219.75124,18.660694,11074,,,,,120,,,OK,201,M5.0,,sdM7,1997AJ....113..806G,,,sdM7,1997AJ....113..806G,VLM,13.194,0.029,12.733,0.03,12.479,0.025,-0.09,,,sd,,,,,,,,,,,,,brownD*,LP 440-52,sdM7.0,1997AJ....113..806G,,28.4,0.7,2012ApJ...752...56F,,,35.211,0.868,1215.9,0.42,0,-1215.9,1992AJ....103..638M,202.9354225,5.002430534,179.7,,1997AJ....113..806G,,,,
10198_11208.fits,SPEX-PRISM,2014ApJ...794..143B,20040312,53076.5,LSR 1610-0040,J16102900-0040530,242.62082,-0.68138891,11208,,,,,120,,,OK,298,M7.0,INT-G,d/sdM6,2003AJ....125.1598L,d/sdM6,2006ApJ...648..614C,d/sdM6,2006ApJ...648..614C,VLM,12.911,0.022,12.302,0.022,12.019,0.027,-0.11,,,d/sd,,,,,,,,,,,,,brownD*,LSR J1610-0040,sdM7,2007ApJ...657..494B,,33.1,1.32,2012ApJ...752...56F,,,30.211,1.205,1718.94,87.73,-1249,-1181,2005A&A...435..363D,246.1566656,15.94319337,-97.89,0.21,2010ApJ...723..684B,16.84,3.11,2010ApJ...723..684B,
10200_11236.fits,SPEX-PRISM,2006ApJ...639.1095B,20040312,53076.5,SDSSp J162414.37+002915.6,J16241436+0029158,246.05981,0.48772222,11236,,,,,120,,,OK,41,T6.0,,,,T6,2006ApJ...637.1067B,T6,2006ApJ...637.1067B,VLM,15.494,0.054,15.524,0.1,15.518,,0.15,,,,,,,,,,,,,,,,brownD*,2MASS J16241436+0029158,T6V,2002ApJ...564..421B,,90.9,1.2,2012ApJ...752...56F,,,11.001,0.145,373.11,2.83,-373,-9,2009AJ....137....1F,19.45582607,0.296177493,,,,,,,
10203_11241.fits,SPEX-PRISM,2004ApJ...614L..73B,20040723,53209.5,2MASS J16262034+3925190,J16262034+3925190,246.58473,39.421947,11241,,,,,120,,,OK,95,M7.0,FLD-G,sdL4,2007ApJ...657..494B,sdL,2004ApJ...614L..73B,sdL4,2007ApJ...657..494B,VLM,14.435,0.029,14.533,0.05,14.466,0.074,-1.11,BLUE,,sd,,,FLD-G,SPL,,,,,,,,,brownD*,2MASS J16262034+3925190,sdL4,2009AJ....137....1F,,29.85,1.08,2012ApJ...752...56F,,,33.501,1.212,1371.17,141.42,-1350,240,2009AJ....137....1F,217.7331125,23.798528,,,,,,,
10204_11283.fits,SPEX-PRISM,2008ApJ...681..579B,20040723,53209.5,VB 8,J16553529-0823401,253.89702,-8.3944721,11283,,,,,120,,,OK,253,M7.0,INT-G,M7 V,,,,M7 V,,VLM,9.776,0.029,9.201,0.024,8.816,0.023,-0.08,,,,,,INT-G,SPL,,,,,,,,,Flare*,GJ  644 C,M7V,1979VKha..190...52Z,,154.5,0.7,1992AJ....103..638M,,,6.472,0.029,1191.2,0.85,-812.4,-871.19,1992AJ....103..638M,36.54555462,0.167612505,15.39,0.11,2010MNRAS.407.2269M,,,,
10205_11377.fits,SPEX-PRISM,2006ApJ...639.1095B,20040723,53209.5,SDSS J175805.46+463311.9,J17580545+4633099,269.52274,46.55275,11377,,,,,120,,,OK,18,T7.0,,,,T6.5,2006ApJ...637.1067B,T6.5,2006ApJ...637.1067B,VLM,16.152,0.088,16.254,0.218,15.465,0.191,0.58,RED,,,,,,,,,,,,,G 204-39,2010AJ....139..176F,brownD*,G 204-39B,T6.5,2009AJ....137....1F,,73.75,1.84,2012ApJ...752...56F,,,13.559,0.338,594.57,21.93,26,594,2008MNRAS.384.1399J,38.21363907,1.701727178,,,,,,,
10208_11521.fits,SPEX-PRISM,2006ApJ...637.1067B,20040723,53209.5,SDSS J212413.89+010000.3,J21241387+0059599,321.0578,0.99997222,11521,,,,,120,,,OK,25,T5.0,,,,T5,2006ApJ...637.1067B,T5,2006ApJ...637.1067B,VLM,16.031,0.074,16.183,0.2,16.144,,0.22,,,,,,,,,,,,,,,,brownD*,CFBDS J212413+010002,T5,2006ApJ...647.1393L,,,,,,,,,350.96,19.8,202,287,2008MNRAS.384.1399J,,,,,,,,,
10209_10001.fits,SPEX-PRISM,2006ApJ...637.1067B,20040724,53210.5,SDSS J000013.54+255418.6,J00001354+2554180,0.056416664,25.904999,10001,,,,Burgasser,120,,,OK,70,T4.0,,,,T4.5,2006ApJ...637.1067B,T4.5,2006ApJ...637.1067B,VLM,15.063,0.041,14.731,0.074,14.836,0.12,-0.04,,,,,,,,,,,,,,,,brownD*,2MASS J00001354+2554180,T4.5,2009AJ....137....1F,,70.8,1.9,2012ApJS..201...19D,,,14.124,0.379,130.14,29.07,6,130,2008MNRAS.384.1399J,8.712654782,1.960132342,,,,,,,
10211_10074.fits,SPEX-PRISM,2014ApJ...794..143B,20040724,53210.5,LHS 1135,J00433134+2054316,10.880583,20.908777,10074,,,,,120,,,OK,209,M5.0,,sdM6.5,2005PASP..117..676R,,,sdM6.5,2005PASP..117..676R,VLM,13.954,0.027,13.44,0.029,13.146,0.043,-0.03,,,sd,,,INT-G,SPL,,,,,,,,,PM*,LHS 1135,sdM6.5,,,,,,,,,,663.16,,631,-204,2005AJ....129.1483L,,,,,,,,,
10217_11614.fits,SPEX-PRISM,2008ApJ...681..579B,20040724,53210.5,Gliese 866AB,J22383372-1517573,339.6405,-15.299251,11614,,,,Burgasser,120,,,OK,335,M6.0,,M5 V,,,,M5 V,,VLM,6.553,0.019,5.954,0.031,5.537,0.02,0.04,,,,,,,,,,,,,,,,BYDra,V* EZ Aqr,M5V,2002AJ....123.2002H,,300,5,1963GCTP..C......0J,,,3.333,0.056,3259.08,7.07,2314,2295,2003ApJ...582.1011S,51.49350897,0.865466584,-60,2,1953GCRV..C......0W,,,,
10218_11694.fits,SPEX-PRISM,2006ApJ...637.1067B,20040724,53210.5,2MASSI J2339101+135230,J23391025+1352284,354.79272,13.874556,11694,,,,Burgasser,120,,,OK,28,T5.0,,,,T5,2006ApJ...637.1067B,T5,2006ApJ...637.1067B,VLM,16.239,0.109,15.822,0.151,16.147,0.307,0.1,,,,,,,,,,,,,,,,brownD*,2MASSI J2339101+135230,T5.4,2002ApJ...564..421B,,,,,,,,,826.38,192.09,300,-770,2009AJ....137....1F,,,,,,,,,
10219_11718.fits,SPEX-PRISM,2006ApJ...637.1067B,20040724,53210.5,2MASSI J2356547-155310,J23565477-1553111,359.22818,-15.886416,11718,,,,Burgasser,120,,,OK,28,T5.0,,,,T5.5,2006ApJ...637.1067B,T5.5,2006ApJ...637.1067B,VLM,15.824,0.057,15.63,0.1,15.771,0.183,0.22,,,,,,,,,,,,,,,,brownD*,2MASSI J2356547-155310,T5.8,2002ApJ...564..421B,,74.4,5.8,2012ApJ...752...56F,,,13.441,1.048,747,5.38,-422.7,-615.9,2012ApJ...752...56F,47.59109065,3.725866172,,,,,,,
10221_11166.fits,SPEX-PRISM,GRECO2019,20040725,53211.5,LHS 407,J15454034-2036157,236.41809,-20.604361,11166,,,,Burgasser,120,,,OK,219,M3.0,,sdM5,,,,sdM5,,VLM,12.82,0.026,12.336,0.023,12.087,0.023,,,,sd,,,,,,,,,,,,,PM*,LHS  407,sdM5.0,1997AJ....113..806G,,33.5,2,1995GCTP..C......0V,,,29.851,1.782,1380.34,7.07,-1246,-594,2003ApJ...582.1011S,195.3085001,11.7030543,-173.1,,1997AJ....113..806G,,,,
10223_11223.fits,SPEX-PRISM,GRECO2019,20040725,53211.5,LHS 3181,J16201478-0116398,245.06158,-1.2777222,11223,,,,Burgasser,120,,,OK,211,M2.0,,sdM2:,1993AJ....105..614R,,,sdM2:,1993AJ....105..614R,VLM,13.83,0.029,13.35,0.027,13.184,0.034,,,,sd,,,,,,,,,,,,,PM*,LHS 3181,sdM2,2008ApJ...672.1153R,,28.7,3,1995GCTP..C......0V,,,34.843,3.642,560.14,141.42,-68,-556,2002ApJS..141..187B,92.5113957,25.27939339,,,,,,,
10228_10144.fits,SPEX-PRISM,2006ApJ...639.1120K,20040905,53253.5,2MASS J01415823-4633574,J01415823-4633574,25.492626,-46.565945,10144,,,,,120,,,OK,137,L2.0,VL-G,L0gamma,2009AJ....137.3345C,L0pec,2006ApJ...639.1120K,L0gamma,2009AJ....137.3345C,VLM,14.832,0.043,13.875,0.026,13.097,0.032,0.21,,,,gamma,,LOW-G,OTHER,,,,,,,,,brownD*,2MASS J01415823-4633574,L2,2014AJ....147...34S,,,,,,,,,93.19,12.81,93,-6,2008MNRAS.390.1517C,,,,,,,,,
10229_10163.fits,SPEX-PRISM,2006ApJ...645.1485B,20040905,53253.5,LP 589-7,J01572792+0116433,29.366333,1.2786944,10163,,,,,120,,,OK,155,M3.0,,esdM5,,,,esdM5,,VLM,14.497,0.033,14.091,0.048,13.866,0.039,,,,esd,,,,,,,,,,,,,PM*,LP 589-7,M5,,,,,,,,,,344.22,,-119,-323,2005AJ....129.1483L,,,,,,,,,
10237_10293.fits,SPEX-PRISM,2014ApJ...794..143B,20040906,53254.5,LEHPM 1-3396,J03341218-4953322,53.55075,-49.892278,10293,,,,,120,,,OK,165,M8.0,FLD-G,M9,2006MNRAS.366L..40P,M8,BURGASSER-NP,M9,2006MNRAS.366L..40P,VLM,11.376,0.023,10.823,0.026,10.392,0.022,-0.06,,,,,,FLD-G,SPL,,,,,,,,,brownD*,2MASS J03341218-4953322,M9,2009AJ....137....1F,,120.6,3.6,2012ApJ...752...56F,,,8.292,0.248,2448.17,55.32,2391,526,2005A&A...435..363D,96.22177273,3.602365384,71.4,3,2009ApJ...705.1416R,,,,
10238_10421.fits,SPEX-PRISM,2014ApJ...794..143B,20040906,53254.5,LEHPM 2-183,J05173729-3348593,79.405373,-33.816471,10421,,,,,120,,,OK,269,M9.0,FLD-G,M8,2003AJ....126.2421C,M9,BURGASSER-NP,M8,2003AJ....126.2421C,VLM,12.004,0.022,11.317,0.024,10.832,0.024,0.06,,,,,,FLD-G,SPL,,,,,,,,,brownD*,DENIS-P J051737.7-334903,M8.0V,2012AJ....144...99D,,,,,,,,,599.8,60,479,-361,2007AJ....133.2258S,,,29.4,2.8,2012AJ....144...99D,,,,
10240_11359.fits,SPEX-PRISM,2006ApJ...638..183M,20040906,53254.5,CXOGC J174516.1-290315,J17451618-2903156,266.31741,-29.054333,11359,,,,,120,,,OK,200,,,,,massive giant,2006ApJ...638..183M,massive giant,2006ApJ...638..183M,GIANT,11.49,0.024,9.172,0.027,7.888,0.026,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heavily reddened
10241_11360.fits,SPEX-PRISM,2006ApJ...638..183M,20040906,53254.5,CXOGC J174528.6-285605,J17452861-2856049,266.36923,-28.934694,11360,,,,,120,,,OK,239,,,,,massive giant,2006ApJ...638..183M,massive giant,2006ApJ...638..183M,GIANT,14.335,,11.264,0.03,9.218,0.032,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heavily reddened
10243_11490.fits,SPEX-PRISM,2014ApJ...794..143B,20040906,53254.5,LEHPM 2-381,J20522811-4758362,313.11713,-47.976723,11490,,,,,120,,,OK,173,M8.0,INT-G,M8,,M8,BURGASSER-NP,M8,BURGASSER-NP,VLM,12.941,0.025,12.294,0.025,11.881,0.03,-0.01,,,,,,INT-G,SPL,,,,,,,,,PM*,SSSPM J2052-4759,M8e,2005A&A...440.1061L,,,,,,,,,405.11,20.25,-30,-404,2003AJ....125..984M,,,,,,,,,
10245_11543.fits,SPEX-PRISM,2006ApJ...637.1067B,20040906,53254.5,2MASS J21392676+0220226,J21392676+0220226,324.86148,2.3396111,11543,,,,,120,,,OK,159,T4.0,,,,T1.5,2006ApJ...637.1067B,T1.5,2006ApJ...637.1067B,VLM,15.264,0.049,14.165,0.053,13.582,0.045,0.37,RED,,,,,,,,,,,,,,,brownD*,CFBDS J213926+022023,T1.5,2006ApJ...637.1067B,,101.5,2,2013MNRAS.433.2054S,,,9.852,0.194,501.67,3.36,485.9,124.8,2013MNRAS.433.2054S,23.42779126,0.487570751,-23.3,1.1,2013AJ....145...71K,,,,
10246_11562.fits,SPEX-PRISM,2006ApJ...637.1067B,20040906,53254.5,2MASS J21513839-4853542,J21513839-4853542,327.90997,-48.898392,11562,,,,,120,,,OK,31,T4.0,,,,T4,2006ApJ...637.1067B,T4,2006ApJ...637.1067B,VLM,15.73,0.074,15.168,0.096,15.431,0.184,0,,,,,,,,,,,,,,,,brownD*,2MASS J21513839-4853542,T4,2006ApJ...637.1067B,,50.4,6.7,2012ApJ...752...56F,,,19.841,2.638,461.15,5.7,414.7,-201.7,2013MNRAS.433.2054S,43.3700246,5.790335375,,,,,,,
10247_10010.fits,SPEX-PRISM,2007ApJ...659..655B,20040907,53255.5,LHS 102B,J00043484-4044058,1.1451666,-40.734943,10010,,,,,120,,,OK,270,L4.0,FLD-G,L5,2001AJ....121.3235K,L4.5,2004AJ....127.3553K,L5,2001AJ....121.3235K,VLM,13.109,0.024,12.055,0.026,11.396,0.026,0.07,,,,,,FLD-G,SPL,,,Y,,,,LHS 102A,1999A&A...351L...5E,brownD*,GJ 1001 B,L5+L5,2008AJ....136.1290R,,76.86,3.97,2012ApJ...752...56F,,,13.011,0.672,1830.41,100.09,686,-1697,2007AJ....133.2258S,112.8824991,8.491024343,32.84,0.17,2010ApJ...723..684B,24.8,0.4,2010ApJ...723..684B,binary: a=0.087+/-0.006 at 48.1+/-5.2(+/-180)deg (Golimowski et al. 2004); BC located 18.2 at 259deg from GJ 1001A on 20 Aug. 2003 (Golimowski et al. 2004)
10249_10068.fits,SPEX-PRISM,2008ApJ...681..579B,20040907,53255.5,2MASSW J0036159+182110,J00361617+1821104,9.0673752,18.35289,10068,,,,,120,,,OK,274,L2.0,FLD-G,L3.5,2000AJ....120..447K,L4+/-1,2004AJ....127.3553K,L3.5,2000AJ....120..447K,VLM,12.466,0.027,11.588,0.029,11.058,0.021,-0.03,,,,,,FLD-G,SPL,,,,,,,,,brownD*,LSPM J0036+1821,L3.5,2000AJ....119..369R,,114.2,0.8,2012ApJ...752...56F,,,8.757,0.061,889.58,60.41,883,108,2007AJ....133.2258S,36.92303265,2.520565287,19.02,0.15,2010ApJ...723..684B,35.12,0.57,2010ApJ...723..684B,
10250_10082.fits,SPEX-PRISM,2006ApJ...639.1095B,20040907,53255.5,2MASS J00501994-3322402,J00501994-3322402,12.583083,-33.377831,10082,,,,,120,,,OK,15,T6.0,,,,T7,2006ApJ...637.1067B,T7,2006ApJ...637.1067B,VLM,15.928,0.07,15.838,0.191,15.241,0.185,0.32,RED,,,,,,,,,,,,,,,brownD*,2MASS J00501994-3322402,T7,2006ApJ...637.1067B,,94.6,2.4,2014ApJ...796...39T,,,10.571,0.268,1500,162.79,1200,900,2009AJ....137....1F,75.15856237,8.376526692,,,,,,,
10251_10093.fits,SPEX-PRISM,2014ApJ...794..143B,20040907,53255.5,LHS 1166,J00554418+2506235,13.934084,25.106527,10093,,,,,120,,,OK,172,M4.0,,sdM6.5,2005PASP..117..676R,,,sdM6.5,2005PASP..117..676R,VLM,14.259,0.027,13.777,0.032,13.573,0.036,,,,sd,,,,,,,,,,,,,PM*,LHS 1166,sdM6.5,2012A&A...542A.105L,,12.5,1.2,1992AJ....103..638M,,,80,7.68,591.1,0.99,590.74,20.63,1992AJ....103..638M,224.1451512,21.52120953,,,,,,,
10254_10305.fits,SPEX-PRISM,2008ApJ...681..579B,20040907,53255.5,LP 944-20,J03393521-3525440,54.896709,-35.42889,10305,,,,,120,,,OK,377,M9.0,FLD-G,M9,,,,M9,,VLM,10.725,0.021,10.017,0.021,9.548,0.023,0.06,,,,,,FLD-G,SPL,,,,,,,,,brownD*,LP 944-20,M9.5Ve,2002A&A...390L..27M,,155.89,1.03,2014AJ....147...94D,,,6.415,0.042,420.32,79.4,317,276,2007AJ....133.2258S,12.78013212,2.41564819,7.6,3,2009ApJ...705.1416R,,,,
10255_10369.fits,SPEX-PRISM,2014ApJ...794..143B,20040907,53255.5,LP 775-31,J0435161-160657,68.817085,-16.115833,10369,,,,,120,,,OK,387,M7.0,FLD-G,M7,,,,M7,,VLM,10.406,0.026,9.779,0.026,9.352,0.021,-0.06,,,,,,FLD-G,SPL,,,,,,,,,brownD*,LP 775-31,M8Ve,2002A&A...390L..27M,,95.35,1.06,2014AJ....147...94D,,,10.488,0.117,346.24,7.07,162,306,2003ApJ...582.1011S,17.21198708,0.400218503,48.5,1.4,2012AJ....144...99D,12.1,3,2012AJ....144...99D,
10257_11297.fits,SPEX-PRISM,2010ApJ...710.1142B,20040907,53255.5,DENIS-P J170548.38-051645.7,J17054834-0516462,256.45142,-5.2795,11297,,,,,120,,,OK,218,L1.0,FLD-G,L0.5,2006AJ....132..891R,L4,2004A&A...416L..17K,L0.5,2006AJ....132..891R,VLM,13.309,0.03,12.552,0.024,12.032,0.021,-0.02,,,,,,FLD-G,SPL,Ursa Majoris,Seifahrt 2010,,,,,,,brownD*,2MASS J17054834-0516462,L1,2014AJ....147...34S,,44.5,12,2012ApJ...752...56F,,,22.472,6.06,165.08,20.52,129,-103,2008MNRAS.384.1399J,17.58334851,5.221029817,12.19,0.11,2010ApJ...723..684B,27.67,0.32,2010ApJ...723..684B,UMaj candidate Seifahrt (2010)
10261_11573.fits,SPEX-PRISM,2006ApJ...639.1095B,20040907,53255.5,DENIS-P J220002.05-303832.9A,J22000201-3038327,330.00839,-30.642416,11573,,,,,120,,,OK,73,M9.0,INT-G,L0,2008AJ....136.1290R,M9,2006AJ....131.1007B,L0,2008AJ....136.1290R,VLM,14.05,0.1,13.28,0.1,12.83,0.1,0.06,,,,,,INT-G,SPL,,,,,,,DENIS-P J220002.05-303832.9B,2004A&A...416L..17K,brownD*,2MASS J22000201-3038327,L0,2009AJ....137....1F,,,,,,,,,219.54,52.39,210,-64,2009AJ....137....1F,,,,,,,,,companion to M9 dwarf DENIS-P J220002.05-303832.9B; sep=1.094+/-0.003+/-0.60 at 176.7+/-0.3+/-2.0 deg on 2004 Sep 7 (Burgasser and McElwain 2006). Photometry is based on unresolved 2MASS PSC and observed magnitude differences.
10262_11574.fits,SPEX-PRISM,2006AJ....131.1007B,20040907,53255.5,DENIS-P J220002.05-303832.9B,J22000201-3038327,330.00839,-30.642416,11574,,,,,120,,,OK,80,M9.0,FLD-G,L0,2008AJ....136.1290R,L0,2006AJ....131.1007B,L0,2008AJ....136.1290R,VLM,14.36,0.1,13.57,0.1,13.09,0.1,0.04,,,,,,FLD-G,SPL,,,,,,,DENIS-P J220002.05-303832.9A,2004A&A...416L..17K,brownD*,2MASS J22000201-3038327,L0,2009AJ....137....1F,,,,,,,,,219.54,52.39,210,-64,2009AJ....137....1F,,,,,,,,,companion to L0 dwarf DENIS-P J220002.05-303832.9A; sep=1.094+/-0.003+/-0.60 at 176.7+/-0.3+/-2.0 deg on 2004 Sep 7 (Burgasser and McElwain 2006). Photometry is based on unresolved 2MASS PSC and observed magnitude differences.
10265_10045.fits,SPEX-PRISM,2014ApJ...794..143B,20040908,53256.5,LHS 1074,J00255117-0748069,6.4632082,-7.8019171,10045,,,,,120,,,OK,104,M4.0,,sdM6,2005PASP..117..676R,,,sdM6,2005PASP..117..676R,VLM,14.684,0.043,14.231,0.042,13.879,0.058,,,,sd,,,,,,,,,,,,,PM*,LHS 1074,sdM6,2008ApJ...672.1153R,,,,,,,,,802.32,7.07,383,-705,2003ApJ...582.1011S,,,,,,,,,
10267_10233.fits,SPEX-PRISM,2008ApJ...681..579B,20040908,53256.5,GAT 1370,J02530084+1652532,43.253498,16.881445,10233,,,,,120,,,OK,325,M6.0,,M7,2006AJ....132.2360H,,,M7,2006AJ....132.2360H,VLM,8.39,0.03,7.88,0.04,7.59,0.05,-0.07,,,,,,INT-G,SPL,Field,2015ApJS..219...33G,,,,,,,brownD*,GAT 1370,M8/9V,2014AJ....147...20N,,260.63,2.69,2006AJ....132.2360H,,,3.837,0.04,5050.25,,3386,-3747,2005AJ....129.1483L,91.84735289,,63,5,2014AJ....147...20N,,,,
10268_10237.fits,SPEX-PRISM,2006ApJ...637.1067B,20040908,53256.5,DENIS-P J0255-4700,J02550357-4700509,43.764874,-47.014137,10237,,,,,120,,,OK,102,L9.0,,L8,2008ApJ...689.1295K,L9,2006ApJ...637.1067B,L8,2008ApJ...689.1295K,VLM,13.246,0.027,12.204,0.024,11.558,0.024,0.04,,,,,,,,,,,,,,,,brownD*,DENIS-P J025503.3-470049,L9,2014AJ....147...34S,,201.37,3.89,2012ApJ...752...56F,,,4.966,0.096,1148.47,3.11,999.6,-565.5,2006AJ....132.1234C,27.03363156,0.527337044,,,,,,,
10269_10393.fits,SPEX-PRISM,2010ApJS..190..100K,20040908,53256.5,2MASS J04470652-1946392,J04470652-1946392,71.777168,-19.777555,10393,,,,,120,,,OK,34,M5.0,,sdM7.5,2010ApJS..190..100K,sdM7.5,2010ApJS..190..100K,sdM7.5,2010ApJS..190..100K,VLM,15.333,0.045,15.103,0.07,14.95,0.115,-0.17,,,sd,,,VL-G,SPL,,,,,,,,,Star,2MASS J04470652-1946392,sdM7:,2010ApJS..190..100K,,,,,,,,,670,80.21,542.04,-393.82,2010ApJS..190..100K,,,,,,,,,
10275_10178.fits,SPEX-PRISM,2006ApJ...637.1067B,20040909,53257.5,SDSS J020742.48+000056.2,J02074284+0000564,31.928497,0.015666667,10178,,,,,120,,,POOR,9,T4.0,,,,T4.5,2006ApJ...637.1067B,T4.5,2006ApJ...637.1067B,VLM,16.799,0.156,16.396,,15.412,,0.13,,,,,,,,,,,,,,,,brownD*,2MASS J02074284+0000564,T4.5,2006ApJ...647.1393L,,34.85,9.87,2012ApJ...752...56F,,,28.694,8.127,155.93,12.53,155,-17,2009AJ....137....1F,21.20819781,6.243544482,,,,,,,
10277_10287.fits,SPEX-PRISM,2014ApJ...794..143B,20040909,53257.5,LEHPM 1-3365,J03303847-2348463,52.660294,-23.81286,10287,,,,,120,,,OK,40,M4.0,,,,esdM7,BURGASSER-NP,esdM7,BURGASSER-NP,VLM,15.799,0.074,15.308,0.105,14.938,0.138,,,,esd,,,,,,,,,,,,,PM*,APMPM J0331-2349,,,,,,,,,,,590.76,36.06,590,30,2003A&A...397..575P,,,,,,,,,
10278_10400.fits,SPEX-PRISM,2006ApJ...645.1485B,20040909,53257.5,LEHPM 2-59,J04520994-2245084,73.041412,-22.752333,10400,,,,,120,,,OK,54,M4.0,,esdM8.5,2006ApJ...645.1485B,esdM8,BURGASSER-NP,esdM8.5,2006ApJ...645.1485B,VLM,15.52,0.05,15.25,0.08,14.76,0.11,,,,esd,,,,,,,,,,,,,brownD*,2MASS J04520994-2245084,esdM8,2009AJ....137....1F,,,,,,,,,719.8,141.42,433,-575,2009AJ....137....1F,,,,,,,,,
10282_11366.fits,SPEX-PRISM,2006ApJ...637.1067B,20040909,53257.5,SDSS J175024.01+422237.8,J17502385+4222373,267.59937,42.377026,11366,,,,,120,,,OK,26,T2.0,,,,T2,2006ApJ...637.1067B,T2,2006ApJ...637.1067B,VLM,16.467,0.101,15.415,0.088,15.482,0.168,0.16,,,,,,,,,,,,,,,,brownD*,2MASS J17502385+4222373,T2,2006ApJ...637.1067B,,,,,,,,,104.69,21.26,-44,95,2008MNRAS.384.1399J,,,,,,,,,
10284_11393.fits,SPEX-PRISM,2014ApJ...794..143B,20040909,53257.5,LSR 1826+3014,J18261131+3014201,276.54712,30.238916,11393,,,,,120,,,OK,163,M7.0,INT-G,M8.5,2002ApJ...581L..47L,d/sdM8.5,BURGASSER-NP,M8.5,2002ApJ...581L..47L,VLM,11.659,0.02,11.175,0.016,10.811,0.019,-0.18,,,d/sd,,,INT-G,SPL,,,,,,,,,brownD*,2MASS J18261131+3014201,M8.5V,2002ApJ...581L..47L,,,,,,,,,2382.12,,-2280,-690,2005AJ....129.1483L,,,,,,,,,
10289_10339.fits,SPEX-PRISM,2008ApJ...681..579B,20041107,53316.5,2MASS J04070752+1546457,J04070752+1546457,61.781338,15.779361,10339,,,,,120,,,POOR,11,L6.0,FLD-G,L3.5,2008AJ....136.1290R,L3,2010ApJ...715..561A,L3.5,2008AJ....136.1290R,VLM,15.478,0.058,14.354,0.057,13.559,0.038,0.16,,,,,,FLD-G,SPL,Field,2015ApJS..219...33G,,,,,,,brownD*,2MASS J04070752+1546457,L3.5,2008AJ....136.1290R,,,,,,,,,65.86,27.59,49,-44,2009AJ....137....1F,,,,,,,,,
10292_10419.fits,SPEX-PRISM,2010ApJ...710.1142B,20041107,53316.5,2MASS J05161597-3332046,J05161597-3332046,79.066544,-33.534611,10419,,,,,120,,,POOR,25,L4.0,FLD-G,L3:,,,,L3:,,VLM,15.879,0.056,14.801,0.052,13.987,0.047,0.22,,,,,,FLD-G,SPL,,,,,,,,,brownD*,2MASS J05161597-3332046,L6,2014AJ....147...34S,,,,,,,,,193.23,24.84,59,184,2009AJ....137....1F,,,,,,,,,
