NAME,DESIGNATION,RA,DEC,SOURCE_KEY,OPT_TYPE,OPT_TYPE_REF,NIR_TYPE,NIR_TYPE_REF,LIT_TYPE,LIT_TYPE_REF,OBJECT_TYPE,J_2MASS,J_2MASS_E,H_2MASS,H_2MASS_E,KS_2MASS,KS_2MASS_E,JK_EXCESS,COLOR_EXTREMITY,LUMINOSITY_CLASS,METALLICITY_CLASS,GRAVITY_CLASS_OPTICAL,GRAVITY_CLASS_OPTICAL_REF,GRAVITY_CLASS_NIR,GRAVITY_CLASS_NIR_REF,CLUSTER,CLUSTER_REF,LIBRARY,BINARY,BINARY_REF,SBINARY,SBINARY_REF,COMPANION_NAME,COMPANION_REF,SIMBAD_OTYPE,SIMBAD_NAME,SIMBAD_SPT,SIMBAD_SPT_REF,SIMBAD_SEP,PARALLAX,PARALLAX_E,PARALLEX_REF,DISTANCE_PHOT,DISTANCE_PHOT_E,DISTANCE,DISTANCE_E,MU,MU_E,MU_RA,MU_DEC,MU_REF,VTAN,VTAN_E,RV,RV_E,RV_REF,VSINI,VSINI_E,VSINI_REF,NOTE
V* GO Tau,J044303095+25201875,70.762875,25.33854167,12504,,,,,K5V:e,,STAR,10.712,0.021,9.776,0.017,9.332,0.018,,,,,,,,,Taurus,2017AJ....153...46L,young,,,,,,,Orion_V*,V* GO Tau,K5V:e,,6.084284431,,,,,,,,,,,,,,,15,,1949ApJ...110..424J,,,,
2MASSI J0443058-320209,J04430581-32020899,70.774216,-32.035805,10386,L5,2003A&A...403..929K,,,L5,2003A&A...403..929K,VLM,15.273,0.052,14.35,0.056,13.877,0.063,-0.3,BLUE,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J04430581-3202090,L5,2009AJ....137....1F,,,,,,,,,205,16.12,0,205,2008MNRAS.390.1517C,,,,,,,,,
SDSS J044337.61+000205.1,J04433761+0002051,70.906708,0.034750003,10387,M9gamma,2007AJ....133..439C,L0 gamma,2015ApJS..219...33G,M9,2007AJ....133..439C,VLM,12.507,0.026,11.804,0.024,11.216,0.021,-0.04,,,,gamma,,LOW-G,OTHER,Beta Pic,2015ApJS..219...33G,young,,,,,,,brownD*,2MASSI J0443376+000205,M9.0V,2012AJ....144...99D,,,,,,,,,160.03,79.88,89,-133,2007AJ....133.2258S,,,21.9,2.3,2012AJ....144...99D,13.1,2,2012AJ....144...99D,
2MASS J04440164+1621324,J044401644+16213241,71.00683333,16.35900278,12441,,,M7.0,SPL,M6,2014ApJ...784..126E,VLM,13.353,0.023,12.768,0.022,12.382,0.024,0.051,,,,,,VL-G,SPL,Taurus,2014ApJ...784..126E,young,,,,,,,IR,2MASS J04440164+1621324,M6,2014ApJ...784..126E,4.60034362,,,,,,,,,,,,,,,,,,,,,
WISE J04440650+2213126,J04440650+2213126,71.027092,22.220167,10388,,,M6?,FAH-NP,M6?,FAH-NP,VLM,15.269,0.051,14.624,0.06,14.344,0.089,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS 04441479+0543573,J04441479+0543573,71.06163,5.7325835,10389,M8,2008AJ....136.1290R,,,M8,2008AJ....136.1290R,VLM,13.668,0.023,12.977,0.03,12.522,0.03,0.01,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J04441479+0543573,M8,2008AJ....136.1290R,,,,,,,,,95.19,29.7,95,-6,2009AJ....137....1F,,,,,,,,,
2MASS J04442713+2512164,J04442713+2512164,71.113045,25.204556,10390,M7.25,,,,M7.25,,VLM,12.195,0.021,11.359,0.017,10.761,0.018,0.02,,,,,,,,Taurus,2007AJ....134..411M,young,,,,,,,brownD*,IRAS S04414+2506,M7.2...,,,,,,,,,,,,,,,,,,,,,,,
2MASS J04453237-3642258,J044532376-3642258,71.384875,-36.70717222,11819,,,M8.0,SPL,M9,2009AJ....137....1F,VLM,13.358,0.027,12.714,0.027,12.255,0.029,0,,,,,,FLD-G,SPL,,,,,,,,,,Star,2MASS J04453237-3642258,M9,2009AJ....137....1F,3.661,,,,25.99,5.28,25.9944,5.2807,469.9995,60,469.928,-8.203,2010ApJS..190..100K,57.91029035,,,,,,,,
2MASS J04455134+1555367,J044551343+15553673,71.46391667,15.92686944,12533,,,M6.0,SPL,M6.0,SPL,VLM,10.311,0.022,9.503,0.023,9.095,0.017,,,,,,,,,Taurus,2009ApJ...703..399L,young,,,,,,,TTau*,2MASS J04455134+1555367,,,2.509949026,,,,,,,,,,,,,,,,,,,,,
2MASSI J0445538-304820,J04455387-3048204,71.474464,-30.805666,10391,L2,2003AJ....126.2421C,,,L2,2003AJ....126.2421C,VLM,13.393,0.026,12.58,0.024,11.975,0.021,0.05,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J04455387-3048204,L2,2007AJ....133.2258S,,78.5,4.9,2012ApJ...752...56F,,,12.739,0.795,431.94,10.3,158,-402,2008MNRAS.390.1517C,26.08118159,1.742656596,,,,,,,
WISE J044633.45-242956.9,J04463345-2429569,71.639374,-24.49914,10392,,,L5 pec,2013PASP..125..809T,L5 pec,2013PASP..125..809T,VLM,16.43,0.12,15.53,0.13,15.14,0.16,-0.24,,,,,,,,,,blue,,,,,,,brownD*,2MASS J04463362-2430014,L5pec,2013PASP..125..809T,,,,,,,,,460.65,28.28,-210,410,2013PASP..125..809T,,,,,,,,,
V* DQ Tau,J044653055+17000019,71.72104167,17.00005278,12484,,,,,M1Ve,1977ApJ...214..747H,STAR,9.511,0.021,8.544,0.02,7.981,0.021,,,,,,,,,Taurus,2017AJ....153...46L,young,,,,,,,TTau*,V* DQ Tau,M1Ve,1977ApJ...214..747H,3.611915709,,,,,,,,24.95596121,6,4.2,-24.6,2003yCat.1289....0Z,,,,,1949ApJ...110..424J,,,,
V* DR Tau,J044706209+16584281,71.77583333,16.97855833,12485,,,,,K5Ve,1949ApJ...110..424J,STAR,8.845,0.024,7.8,0.05,6.874,0.017,,,,,,,,,Taurus,2017AJ....153...46L,young,,,,,,,TTau*,V* DR Tau,K5Ve,1949ApJ...110..424J,4.363232104,,,,,,,,21.2407627,4.1,12.6,-17.1,2009yCat.1315....0Z,,,,,,,,,
2MASS J04470652-1946392,J04470652-1946392,71.777168,-19.777555,10393,sdM7.5,2010ApJS..190..100K,sdM7.5,2010ApJS..190..100K,sdM7.5,2010ApJS..190..100K,VLM,15.333,0.045,15.103,0.07,14.95,0.115,-0.17,,,sd,,,VL-G,SPL,,,subdwarf,,,,,,,Star,2MASS J04470652-1946392,sdM7:,2010ApJS..190..100K,,,,,,,,,670,80.21,542.04,-393.82,2010ApJS..190..100K,,,,,,,,,
PSO J071.8769-12.2713,J04473040-1216164,71.87666667,-12.27112222,11919,,,T1.0,SPL,T2:,2015ApJ...814..118B,VLM,16.48,0.11,15.99,0.17,15.55,0.22,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,22.14,3.825,22.1401,3.8251,,,,,,,,,,,,,,
2MASS J0447430-193604,J0447430-193604,71.929161,-19.601112,10394,L5:,,,,L5:,,VLM,15.969,0.065,14.785,0.059,14.012,0.054,0.13,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J04474307-1936045,L5,2009AJ....137....1F,,,,,,,,,111.83,31.83,69,88,2009AJ....137....1F,,,,,,,,,
V* DS Tau,J044748594+29251123,71.95245833,29.41978611,12486,,,,,K4Ve,1949ApJ...110..424J,STAR,9.465,0.018,8.6,0.03,8.036,0.029,,,,,,,,,Taurus,2017AJ....153...46L,young,,,,,,,TTau*,V* DS Tau,K4Ve,1949ApJ...110..424J,6.331378217,,,,,,,,37.42565965,7.6,15.2,-34.2,2012yCat.1322....0Z,,,13,,1949ApJ...110..424J,,,,
2MASS J04480182-0557254,J04480182-0557254,72.007584,-5.9570556,10395,,,galaxy,2010ApJS..190..100K,galaxy,2010ApJS..190..100K,GALAXY,15.801,0.064,14.441,0.051,13.775,0.058,,,,,,,,,,,,,,,,,,Star,2MASS J04480182-0557254,,,,,,,,,,,1290,1249.88,-811.82,-1002.52,2010ApJS..190..100K,,,,,,,,,
2MASS J04480632+1551251,J044806329+15512512,72.02633333,15.85697778,12442,,,L2.0,SPL,M4.5,2014ApJ...784..126E,STAR,13.708,0.023,12.629,0.028,11.976,0.02,,,,,,,,,Taurus,2014ApJ...784..126E,young,,,,,,,IR,2MASS J04480632+1551251,M4.5,2014ApJ...784..126E,11.41356858,,,,,,,,,,,,,,,,,,,,,
0448-4432b,J04483656-4432051,72.152336,-44.534748,10396,,,,,,,VLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J04483807-4432110,J04483807-4432110,72.158623,-44.536388,10397,,,,,,,VLM,16.856,0.175,16.283,0.19,15.741,0.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISE J044853.28-193548.6,J04485328-1935486,72.222,-19.596834,10398,,,T5 pec,2011ApJS..197...19K,T5 pec,2011ApJS..197...19K,VLM,17.016,0.172,16.821,0.309,15.858,,-0.74,BLUE,,,,,,,,,,,,,,,,brownD*,EQ J0448-1935,T5pec,2011ApJS..197...19K,,,,,,,,,1168.05,29,907,736,2011ApJS..197...19K,,,,,,,,,
2MASS J04485745+2913521,J04485745+2913521,72.24120833,29.23111389,12443,,,M7.0,SPL,M6,2014ApJ...784..126E,VLM,11.906,0.025,11.379,0.029,11.037,0.018,,,,,,,VL-G,SPL,Taurus,2014ApJ...784..126E,young,,,,,,,IR,2MASS J04485745+2913521,M6,2014ApJ...784..126E,,,,,,,,,,,,,,,,,,,,,,
2MASS J04485789+2913548,J044857890+29135483,72.24120833,29.23189722,12444,,,,,M,2014ApJ...784..126E,STAR,13.483,0.025,12.177,0.023,11.045,0.022,,,,,,,,,Taurus,2014ApJ...784..126E,young,,,,,,,IR,2MASS J04485789+2913548,M,2014ApJ...784..126E,14.15736416,,,,,,,,,,,,,,,,,,,,,
1RXS J045053.5+213927,J045053565+21392330,72.72316667,21.65647222,12445,,,M4.0,SPL,M4.0,SPL,STAR,10.469,0.025,9.81,0.027,9.569,0.018,,,,,,,,,Taurus,2017AJ....153...46L,young,,,,,,,Star,1RXS J045053.5+213927,,,13.5093792,,,,,,,,,,,,,,,,,,,,,
2MASSI J0451009-340214,J04510092-34021500,72.75383,-34.037498,10399,L0.5,2003AJ....126.2421C,,,L0.5,2003AJ....126.2421C,VLM,13.541,0.023,12.826,0.023,12.294,0.026,0.03,,,,,,FLD-G,SPL,,,,,,,,,,BYDra,V* SY Cae,L0.5,2009AJ....137....1F,,47.46,1.51,2014AJ....147...94D,,,21.07,0.67,183.48,11.31,76,167,2008MNRAS.390.1517C,18.32482843,1.271490008,,,,,,,
2MASS J04510592+0014394,J04510592+0014394,72.775625,0.233419444,12768,,,L0.0,SPL,M9,2017arXiv170803688K,VLM,16.775,0.212,15.96,0.166,15.16,0.171,,,,,,,VL-G,SPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS 04489+3042,J045206680+30471755,73.02783333,30.78820833,12534,,,,,M2,,STAR,14.43,0.03,12.021,0.021,10.383,0.018,,,,,,,,,Taurus,2006ApJ...645..676L,young,,,,,,,YSO,IRAS 04489+3042,M2,,9.090603944,,,,,,,,,,,,,,,,,,,,,
Haro 6-39,J045209701+30374550,73.04041667,30.62930556,12510,,,,,M,2014ApJ...784..126E,STAR,13.254,0.021,12.117,0.018,11.187,0.018,,,,,,,,,Taurus,2014ApJ...784..126E,young,,,,,,,YSO,Haro 6-39,M,2014ApJ...784..126E,15.22457715,,,,,,,,,,,,,,,,,,,,,
LEHPM 2-59,J04520994-2245084,73.041412,-22.752333,10400,esdM8.5,2006ApJ...645.1485B,esdM8,BURGASSER-NP,esdM8.5,2006ApJ...645.1485B,VLM,15.52,0.05,15.25,0.08,14.76,0.11,,,,esd,,,,,,,subdwarf,,,,,,,brownD*,2MASS J04520994-2245084,esdM8,2009AJ....137....1F,,,,,,,,,719.8,141.42,433,-575,2009AJ....137....1F,,,,,,,,,
2MASSI J0453264-175154,J04532647-1751543,73.360291,-17.865084,10401,L3:,2003AJ....126.2421C,L2 beta,2015ApJS..219...33G,L3:,2003AJ....126.2421C,VLM,15.142,0.035,14.06,0.035,13.466,0.035,0.14,,,,beta,,INT-G,OTHER,Field,2015ApJS..219...33G,young,,,,,,,brownD*,2MASS J04532647-1751543,L3,2009AJ....137....1F,,,,,,,,,51.16,19.8,51,-4,2008MNRAS.390.1517C,,,,,,,,,
V* GM Aur,J045510983+30215954,73.79575,30.36653889,12502,,,,,K3Ve,1977ApJ...214..747H,STAR,9.341,0.018,8.603,0.024,8.283,0.017,,,,,,,,,Taurus,2017AJ....153...46L,young,,,,,,,TTau*,V* GM Aur,K3Ve,1977ApJ...214..747H,9.851915275,,,,,,,,,,,,,,,24,,1949ApJ...110..424J,,,,
2MASS J04552333+3027366,J045523330+30273662,73.84720833,30.46017222,12446,,,M8.0,SPL,M6.2,,VLM,13.062,0.024,12.384,0.023,11.966,0.021,0.16,,,,,,VL-G,SPL,Taurus,2007AJ....134..411M,young,,,,,,,brownD*,2MASS J04552333+3027366,M6.2,,3.773716608,,,,,,,,,,,,,,,,,,,,,
V* AB Aur,J04554582+3033043,73.94091667,30.55111944,12455,,,,,A0Ve,2013ApJ...771..110M,STAR,5.936,0.018,5.062,0.02,4.23,0.016,,,,,,,,,Taurus,2017AJ....153...46L,young,,,,,,,TTau*,V* AB Aur,A0Ve,2013ApJ...771..110M,,7.18,0.96,2007A&A...474..653V,,,139.275766,18.62182944,24.86945516,,2.63,-24.73,2007A&A...474..653V,,,8.9,0.9,2006AstL...32..759G,,,,
2MASS J04554757+3028077,J045547573+30280773,73.94820833,30.46881389,12447,,,M6.0,SPL,M4.7,,STAR,11.051,0.024,10.313,0.024,9.984,0.021,,,,,,,,,Taurus,2007AJ....134..411M,young,,,,,,,YSO,2MASS J04554757+3028077,M4.7,,1.4138797,,,,,,,,,,,,,,,,,,,,,
2MASS J04555288+3006523,J045552887+30065232,73.97033333,30.11453333,12448,,,M6.0,SPL,M5.2,,VLM,11.645,0.021,11.034,0.016,10.734,0.019,,,,,,,,,Taurus,2007AJ....134..411M,young,,,,,,,YSO,2MASS J04555288+3006523,M5.2,,1.7857446,,,,,,,,,,,,,,,,,,,,,
2MASS J04560118+3026348,J045601182+30263483,74.00491667,30.44300833,12584,,,,,M,,STAR,11.362,0.021,10.554,0.016,10.055,0.017,,,,,,,,,Taurus,2009ApJ...703..399L,young,,,,,,,YSO,2MASS J04560118+3026348,,,9.371410776,,,,,,,,,,,,,,,,,,,,,
WISE J045746.08-020719.2,J04574602-0207179,74.44175,-2.1216388,10402,T2,2013A&A...557A..43B,,,T2,2013A&A...557A..43B,VLM,14.897,0.04,14.198,0.046,14.022,0.055,-0.12,,,,,,,,,,,,,,,,,IR,WISE J045746.08-020719.2,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J04574903+3015195,J04574903+3015195,74.454285,30.255417,10403,M9.25,,,,M9.25,,VLM,15.771,0.075,15.125,0.09,14.484,0.082,-0.07,,,,,,,,Taurus,2007AJ....134..411M,young,,,,,,,brownD*,2MASS J04574903+3015195,M9.25,2011A&A...529A..44W,,,,,,,,,,,,,,,,,,,,,,
2MASS J04584239-3002061,J045842395-30020611,74.676625,-30.03503056,12030,,,M7.0,,M6.5,2015ApJS..219...33G,VLM,13.5,0.028,12.89,0.027,12.465,0.027,,,,,,,FLD-G,SPL,,,,,,,,,,Star,2MASS J04584239-3002061,,,0.119229911,,,,,,,,,,,,,,,,,,,,,
V* BS Tau A,J045851413+28312417,74.71420833,28.52338056,12457,,,,,M2.5,2014ApJ...784..126E,STAR,10.389,0.024,9.562,0.022,9.147,0.02,,,,,,,,,Taurus,2014ApJ...784..126E,young,Y,,,,V* BS Tau B,,Orion_V*,V* BS Tau A,M2.5,2014ApJ...784..126E,16.17618565,,,,,,,,23.05319934,5.4,13.2,-18.9,2012yCat.1322....0Z,,,,,,,,,
V* BS Tau B,J045851413+28312417,74.71420833,28.52338056,12458,,,M8.0,SPL,M5.5,2014ApJ...784..126E,VLM,10.389,0.024,9.562,0.022,9.147,0.02,,,,,,,,,Taurus,2014ApJ...784..126E,young,Y,,,,V* BS Tau A,,Orion_V*,V* BS Tau B,M5.5,2014ApJ...784..126E,16.17618565,,,,,,,,23.05319934,5.4,13.2,-18.9,2012yCat.1322....0Z,,,,,,,,,
WISEPC J045853.90+643451.9,J04585390+6434519,74.724586,64.581085,10404,,,T9,MAI11A,T9,MAI11A,VLM,17.47,0.07,17.41,0.11,,,,,,,,,,,,,binary,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J04591832+2840577,J04591661+2840468,74.81920833,28.67946667,12450,,,,,,,GALAXY,16.48,0.12,14.99,0.1,14.08,0.06,,,,,,,,,,,,,,,,,,Galaxy,2MASS J04591832+2840577,,,,,,,,,,,,,,,,,,,,,,,,
WISE J04592121+1540592,J04592121+1540592,74.838379,15.683111,10405,,,sdL0,2014ApJ...783..122K,sdL0,2014ApJ...783..122K,VLM,14.957,0.031,14.613,0.047,14.3,0.062,-0.6,BLUE,,sd,,,FLD-G,SPL,,,subdwarf,,,,,,,PM*,WISE J045921.20+154059.4,,,,,,,,,,,668.62,18.03,405,-532,2014ApJ...781....4L,,,,,,,,,
WISE J050003.04-122343.2,J05000304-1223432,75.012665,-12.395333,10406,,,T8,2011ApJS..197...19K,T8,2011ApJS..197...19K,VLM,17.782,0.496,18.132,0.121,,,-0.14,,,,,,,,,,,,,,,,,brownD*,EQ J0500-1223,T8,2011ApJS..197...19K,,,,,,,,,845.83,435.35,-646,546,2011ApJS..197...19K,,,,,,,,,
V* GZ Aur A,J050003110+30010745,75.01295833,30.01873611,12505,,,,,,,STAR,10.962,0.023,9.739,0.022,8.927,0.02,0.325,,,,,,,,Taurus,2017AJ....153...46L,young,Y,,,,V* GZ Aur B,,Em*,V* GZ Aur,,,11.43092794,,,,,,,,28.39894364,5.4,5.3,-27.9,2012yCat.1322....0Z,0.357049317,,,,,,,,
V* GZ Aur B,J050003110+30010745,75.01295833,30.01873611,12506,,,,,,,STAR,10.962,0.023,9.739,0.022,8.927,0.02,0.315,,,,,,,,Taurus,2017AJ....153...46L,young,Y,,,,V* GZ Aur A,,Em*,V* GZ Aur,,,12.02349448,,,,,,,,28.39894364,5.4,5.3,-27.9,2012yCat.1322....0Z,0.303162353,,,,,,,,
2MASS J05002100+0330501,J05002099+03305010,75.087463,3.5139167,10407,L4,2008AJ....136.1290R,,,L4,2008AJ....136.1290R,VLM,13.669,0.024,12.683,0.023,12.062,0.024,0.15,,,,,,FLD-G,SPL,Field,2015ApJS..219...33G,,,,,,,,brownD*,2MASS J05002100+0330501,L4,2008AJ....136.1290R,,73.85,1.98,2014AJ....147...94D,,,13.541,0.363,360.23,50.04,-13,-360,2007AJ....133.2258S,23.12135709,3.271051937,15.94,0.16,2010ApJ...723..684B,9.65,0.36,2010ApJ...723..684B,
2MASS J05004808+0442143,J05004808+0442143,75.19979167,4.704455556,12375,,,L1.0,SPL,L1.0,SPL,VLM,13.8,0.029,13.063,0.032,12.513,0.029,0.037,,,,,,FLD-G,SPL,,,,,,,,,,,,,,,,,,23.94191826,4.400179201,23.94191826,4.400179201,,,,,,,,,,,,,,
J0501+0315 Background Source,J0501+0315,75.25,3.25,10408,,,,,,,STAR,16.489,0.139,15.859,,15.542,0.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wrong target?
LEHPM 2-77,J05011569-3341084,75.315376,-33.685669,10409,,,sdM4:,BURGASSER-NP,sdM4:,BURGASSER-NP,VLM,16.047,0.072,15.436,0.083,15.478,0.226,,,,sd,,,,,,,subdwarf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J05012406-0010452,J05012406-0010452,75.35025,-0.17922223,10410,L4gamma,2009AJ....137.3345C,L3 gamma,2015ApJS..219...33G,L4gamma,2009AJ....137.3345C,VLM,14.982,0.038,13.713,0.034,12.963,0.035,0.27,,,,gamma,,LOW-G,OTHER,Columba/Carina,2015ApJS..219...33G,young,,,,,,,brownD*,2MASS J05012406-0010452,L4,2009AJ....137....1F,,76.4,4.8,2012ApJ...752...56F,,,13.089,0.822,238.43,16.97,193,-140,2008MNRAS.390.1517C,14.79266417,1.404392874,,,,,,,
2MASSI J0502134+144236,J05021345+1442367,75.556038,14.710195,10411,L0,2009AJ....137....1F,,,L0,2009AJ....137....1F,VLM,14.271,0.025,13.392,0.021,12.955,0.029,0.11,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J05021345+1442367,L0,2009AJ....137....1F,,,,,,,,,72.01,23.6,72,-1,2008MNRAS.390.1517C,,,,,,,,,
V* V836 Tau,J050306595+25231971,75.77745833,25.38880833,12580,,,,,K7/M0Ve,1983ApJ...269..229M,STAR,9.913,0.023,9.077,0.029,8.595,0.019,,,,,,,,,Taurus,2017AJ....153...46L,young,,,,,,,BYDra,V* V836 Tau,K7/M0Ve,1983ApJ...269..229M,10.71192884,,,,,,,,13.64441278,5.8,-1.1,-13.6,2003yCat.1289....0Z,,,,,,,,,
2MASS J05044139+2509544,J050441399+25095440,76.17245833,25.16511111,12464,,,M9.0,SPL,M3.5,,STAR,10.913,0.024,10.01,0.03,9.597,0.019,,,,,,,,,Taurus,2017AJ....153...46L,young,,,,,,,TTau*,2MASS J05044139+2509544,M3.5,,0.360255903,,,,,,,,,,,,,,,,,,,,,
WISE J05044417+5915268,J05044417+5915268,76.184044,59.257446,10412,,,M5,FAH-NP,M5,FAH-NP,VLM,15.284,0.047,14.65,0.038,14.323,0.065,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[BCG93]  9 A,J050522861+25313123,76.34525,25.52534167,12465,,,,,M0,,STAR,12.81,0.04,11.91,0.04,11.161,0.029,,,,,,,,,Taurus,2017AJ....153...46L,young,Y,,,,[BCG93]  9 B,,TTau*,[BCG93]  9 A,M0,,20.93797741,,,,,,,,,,,,,,,,,,,,,
[BCG93]  9 B,J050522861+25313123,76.34525,25.52534167,12466,,,M9.0,SPL,M9.0,SPL,VLM,12.81,0.04,11.91,0.04,11.161,0.029,,,,,,,,,Taurus,2017AJ....153...46L,young,Y,,,,[BCG93]  9 A,,TTau*,[BCG93]  9 B,,,,,,,,,,,,,,,,,,,,,,,,
RX J0506.2+0439,J050612926+0439271,76.55383333,4.65755,11870,,,,,M3,,STAR,8.909,0.02,8.341,0.042,8.067,0.024,,,,,,,,,,,,,,,,,,TTau*,RX J0506.2+0439,M3,,24.5,,,,,,,,91.46873,3.8,31.7,-85.8,2012yCat.1322....0Z,,,,,,,,,
2MASS J05062332+2432199,J050623327+24321995,76.59716667,24.538875,12462,,,M4.0,SPL,M4:,,STAR,10.421,0.022,9.712,0.026,9.459,0.022,,,,,,,,,Taurus,2017AJ....153...46L,young,,,,,,,TTau*,2MASS J05062332+2432199,M4:,,26.86053055,,,,,,,,,,,,,,,,,,,,,
2MASS J05063725-3405090,J05063688-3405057,76.653664,-34.084915,10413,,,,,,,VLM,16.361,0.125,16.061,0.187,16.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSO J076.7092+52.6087,J05065020+5236312,76.70916667,52.60861667,11920,,,T5.0,SPL,T4.5,2015ApJ...814..118B,VLM,15.746,0.071,15.354,0.106,15.596,0.199,0.45,RED,,,,,,,,,,,,,,,,,,,,,,,,16.35,2.993,16.3505,2.993,,,,,,,,,,,,,,
2MASS J05073903+2311068,J050739033+23110680,76.912625,23.18522222,12451,,,M5.0,SPL,M4.5,2014ApJ...784..126E,STAR,12.207,0.02,11.525,0.02,11.233,0.018,,,,,,,,,Taurus,2014ApJ...784..126E,young,,,,,,,Candidate_YSO,2MASS J05073903+2311068,M4.5,2014ApJ...784..126E,9.243145269,,,,,,,,,,,,,,,,,,,,,
J05075086-0342464,J05075070-0342427,76.96191667,-3.712788889,11750,,,M8.0,SPL,M8.0,SPL,VLM,15.502,0.053,14.898,0.069,14.724,0.099,-0.27,,,,,,INT-G,SPL,,,,,,,,,,,,,,,,,,83.66,17.46,83.669,17.469,,,,,,,,,,,,,,
2MASS J05075496+2500156,J050754966+25001561,76.979,25.00433611,12463,,,M4.0,SPL,M3.5,,STAR,11.415,0.021,10.705,0.021,10.4,0.018,,,,,,,,,Taurus,2017AJ....153...46L,young,,,,,,,TTau*,2MASS J05075496+2500156,M3.5,,27.14496781,,,,,,,,,,,,,,,,,,,,,
2MASS J05080709+2427123,J05080709+2427123,77.02954167,24.45334167,12452,,,M4.0,SPL,M4,2014ApJ...784..126E,STAR,11.396,0.022,10.701,0.022,10.481,0.018,,,,,,,,,Taurus,2014ApJ...784..126E,young,,,,,,,IR,2MASS J05080709+2427123,M4,2014ApJ...784..126E,,,,,,,,,,,,,,,,,,,,,,
WISE J050854.88+331920.8,J050855063+33192721,77.22941667,33.324225,12376,,,L2.0,SPL,L2.0,SPL,VLM,14.217,0.032,13.242,0.037,12.623,0.028,0.234,,,,,,FLD-G,SPL,,,,,,,,,,PM*,WISE J050854.88+331920.8,,,8.21476046,,,,24.10726192,4.777766228,24.10726192,4.777766228,656.8782231,10,-217,-620,2014ApJ...781....4L,75.06043766,,,,,,,,
2MASS J05102012+2714032,J05102012+2714032,77.58383333,27.23417222,12834,,,M8.0,SPL,M7V,2014AJ....147...20N,VLM,10.698,0.02,9.965,0.022,9.56,0.018,0.138,,,,,,FLD-G,SPL,,,,,,,,,,PM*,2MASS J05102012+2714032,M7V,2014AJ....147...20N,18.17195793,100.7,1.6,2009AJ....137.4109L,10.76615697,1.99982456,9.930486594,0.157783302,666.6228319,,-215,-631,2005AJ....129.1483L,31.37827431,,-31,4,2014AJ....147...20N,,,,
2MASS J05103520-4208140,J05103520-4208140,77.64666,-42.137222,10414,,,T5,2007AJ....134.1162L,T5,2007AJ....134.1162L,VLM,16.222,0.087,16.237,0.156,15.996,0.283,0.22,,,,,,,,,,,,,,,,,brownD*,2MASS J05103524-4208146,T5,2009AJ....137....1F,,,,,,,,,589.25,25.81,104,580,2009AJ....137....1F,,,,,,,,,
2MASS J05104958-1843548,J051049581-18435482,77.70658333,-18.73189444,12031,,,L2.0,,L2 beta,2015ApJS..219...33G,VLM,15.35,0.06,14.34,0.05,13.81,0.06,,,,,,,INT-G,SPL,,,,,,,,,,Star,2MASS J05104958-1843548,,,0.740136336,,,,,,,,,,,,,,,,,,,,,
2MASS J05120636-2949540,J05120636-29495400,78.026497,-29.831667,10415,L4.5,2008ApJ...689.1295K,L5 gamma,2015ApJS..219...33G,L4.5,2008ApJ...689.1295K,VLM,15.463,0.057,14.156,0.048,13.285,0.042,0.36,RED,,,gamma,,LOW-G,OTHER,Beta Pic,2015ApJS..219...33G,young red,,,,,,,brownD*,2MASS J05120636-2949540,L4.5,2008ApJ...689.1295K,,,,,,,,,97.19,17.69,-6,97,2008MNRAS.390.1517C,,,,,,,,,
2MASSI J0512-2949-BS,J05120636-29495400,78.026497,-29.831667,10416,L4.5,2008ApJ...689.1295K,,,L4.5,2008ApJ...689.1295K,VLM,15.463,0.057,14.156,0.048,13.285,0.042,,,,,,,,,Beta Pic,2015ApJS..219...33G,,,,,,,,brownD*,2MASS J05120636-2949540,L4.5,2008ApJ...689.1295K,,,,,,,,,97.19,17.69,-6,97,2008MNRAS.390.1517C,,,,,,,,,
